match_id,date,home_team,away_team,home_score,away_score,league,season,stadium
M001,2025-08-10,Lech Poznań,Legia Warszawa,2,1,Ekstraklasa,2025/2026,Stadion Poznań
M002,2025-08-17,Wisła Kraków,Pogoń Szczecin,1,3,Ekstraklasa,2025/2026,Stadion Wisły
M003,2025-08-24,Śląsk Wrocław,Zagłębie Lubin,0,0,Ekstraklasa,2025/2026,Stadion Wrocław
M004,2025-09-01,Lech Poznań,Wisła Kraków,3,0,Ekstraklasa,2025/2026,Stadion Poznań
M005,2025-09-07,Legia Warszawa,Śląsk Wrocław,1,2,Ekstraklasa,2025/2026,Stadion Wojska Polskiego
M006,2025-09-14,Pogoń Szczecin,Lech Poznań,0,1,Ekstraklasa,2025/2026,Stadion Pogoni
M007,2025-09-21,Zagłębie Lubin,Legia Warszawa,2,2,Ekstraklasa,2025/2026,Stadion Lubin
M008,2025-09-28,Wisła Kraków,Śląsk Wrocław,1,1,Ekstraklasa,2025/2026,Stadion Wisły
M009,2025-10-05,Pogoń Szczecin,Zagłębie Lubin,0,0,Ekstraklasa,2025/2026,Stadion Pogoni
M010,2025-10-12,Lech Poznań,Legia Warszawa,1,1,Ekstraklasa,2025/2026,Stadion Poznań

M011,2025-10-19,Lech Poznań,Śląsk Wrocław,2,0,Ekstraklasa,2025/2026,Stadion Poznań
M012,2025-10-20,Legia Warszawa,Pogoń Szczecin,1,1,Ekstraklasa,2025/2026,Stadion Wojska Polskiego
M013,2025-10-20,Zagłębie Lubin,Wisła Kraków,2,1,Ekstraklasa,2025/2026,Stadion Lubin
M014,2025-10-27,Wisła Kraków,Lech Poznań,1,4,Ekstraklasa,2025/2026,Stadion Wisły
M015,2025-10-27,Śląsk Wrocław,Legia Warszawa,0,2,Ekstraklasa,2025/2026,Stadion Wrocław
M016,2025-10-28,Pogoń Szczecin,Zagłębie Lubin,3,0,Ekstraklasa,2025/2026,Stadion Pogoni
M017,2025-11-03,Lech Poznań,Zagłębie Lubin,1,1,Ekstraklasa,2025/2026,Stadion Poznań
M018,2025-11-04,Legia Warszawa,Wisła Kraków,3,1,Ekstraklasa,2025/2026,Stadion Wojska Polskiego
M019,2025-11-04,Śląsk Wrocław,Pogoń Szczecin,1,2,Ekstraklasa,2025/2026,Stadion Wrocław
M020,2025-11-10,Pogoń Szczecin,Lech Poznań,0,0,Ekstraklasa,2025/2026,Stadion Pogoni
